Company Name,Industry,Symbol,Series,ISIN Code
Amara Raja Batteries Ltd.,Automobile and Auto Components,AMARAJABAT.NS,EQ,INE885A01032
Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE.NS,EQ,INE438A01022
Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA.NS,EQ,INE439A01020
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO.NS,EQ,INE917I01010
Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND.NS,EQ,INE787D01026
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD.NS,EQ,INE323A01026
Ceat Ltd.,Automobile and Auto Components,CEATLTD.NS,EQ,INE482A01020
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT.NS,EQ,INE066A01021
Endurance Technologies Ltd.,Automobile and Auto Components,ENDURANCE.NS,EQ,INE913H01037
Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND.NS,EQ,INE302A01020
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO.NS,EQ,INE158A01026
Jamna Auto Industries Ltd.,Automobile and Auto Components,JAMNAAUTO.NS,EQ,INE039C01032
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M.NS,EQ,INE101A01026
Mahindra CIE Automotive Ltd.,Automobile and Auto Components,MAHINDCIE.NS,EQ,INE536H01010
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI.NS,EQ,INE585B01010
MRF Ltd.,Automobile and Auto Components,MRF.NS,EQ,INE883A01011
Schaeffler India Ltd.,Automobile and Auto Components,SCHAEFFLER.NS,EQ,INE513A01022
Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS.NS,EQ,INE073K01018
Sundram Fasteners Ltd.,Automobile and Auto Components,SUNDRMFAST.NS,EQ,INE387A01021
Suprajit Engineering Ltd.,Automobile and Auto Components,SUPRAJIT.NS,EQ,INE399C01030
Tata Motors Ltd DVR,Automobile and Auto Components,TATAMTRDVR.NS,EQ,IN9155A01020
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS.NS,EQ,INE155A01022
Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA.NS,EQ,INE974X01010
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR.NS,EQ,INE494B01023
UNO Minda Ltd.,Automobile and Auto Components,UNOMINDA.NS,EQ,INE405E01023
Varroc Engineering Ltd.,Automobile and Auto Components,VARROC.NS,EQ,INE665L01035
ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,ZFCVINDIA.NS,EQ,INE342J01019
ABB India Ltd.,Capital Goods,ABB.NS,EQ,INE117A01022
AIA Engineering Ltd.,Capital Goods,AIAENG.NS,EQ,INE212H01026
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO.NS,EQ,INE702C01027
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY.NS,EQ,INE208A01029
Astral Ltd.,Capital Goods,ASTRAL.NS,EQ,INE006I01046
Bharat Dynamics Ltd.,Capital Goods,BDL.NS,EQ,INE171Z01018
Bharat Electronics Ltd.,Capital Goods,BEL.NS,EQ,INE263A01024
Bharat Forge Ltd.,Capital Goods,BHARATFORG.NS,EQ,INE465A01025
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL.NS,EQ,INE257A01026
Borosil Renewables Ltd.,Capital Goods,BORORENEW.NS,EQ,INE666D01022
Carborundum Universal Ltd.,Capital Goods,CARBORUNIV.NS,EQ,INE120A01034
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER.NS,EQ,INE067A01029
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP.NS,EQ,INE704P01017
Cummins India Ltd.,Capital Goods,CUMMINSIND.NS,EQ,INE298A01020
Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP.NS,EQ,INE285A01027
EPL Ltd.,Capital Goods,EPL.NS,EQ,INE255A01020
Escorts Kubota Ltd.,Capital Goods,ESCORTS.NS,EQ,INE042A01014
Finolex Cables Ltd.,Capital Goods,FINCABLES.NS,EQ,INE235A01022
Finolex Industries Ltd.,Capital Goods,FINPIPE.NS,EQ,INE183A01024
GMM Pfaudler Ltd.,Capital Goods,GMMPFAUDLR.NS,EQ,INE541A01023
Graphite India Ltd.,Capital Goods,GRAPHITE.NS,EQ,INE371A01025
Grindwell Norton Ltd.,Capital Goods,GRINDWELL.NS,EQ,INE536A01023
H.E.G. Ltd.,Capital Goods,HEG.NS,EQ,INE545A01016
Hindustan Aeronautics Ltd.,Capital Goods,HAL.NS,EQ,INE066F01012
Hitachi Energy India Ltd.,Capital Goods,POWERINDIA.NS,EQ,INE07Y701011
HLE Glascoat Ltd.,Capital Goods,HLEGLAS.NS,EQ,INE461D01010
Honeywell Automation India Ltd.,Capital Goods,HONAUT.NS,EQ,INE671A01010
Kec International Ltd.,Capital Goods,KEC.NS,EQ,INE389H01022
KEI Industries Ltd.,Capital Goods,KEI.NS,EQ,INE878B01027
Lakshmi Machine Works Ltd.,Capital Goods,LAXMIMACH.NS,EQ,INE269B01029
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK.NS,EQ,INE249Z01012
MTAR Technologies Ltd.,Capital Goods,MTARTECH.NS,EQ,INE864I01014
Polycab India Ltd.,Capital Goods,POLYCAB.NS,EQ,INE455K01017
Polyplex Corporation Ltd.,Capital Goods,POLYPLEX.NS,EQ,INE633B01018
Praj Industries Ltd.,Capital Goods,PRAJIND.NS,EQ,INE074A01025
Prince Pipes and Fittings Ltd.,Capital Goods,PRINCEPIPE.NS,EQ,INE689W01016
Ratnamani Metals & Tubes Ltd.,Capital Goods,RATNAMANI.NS,EQ,INE703B01027
RHI MAGNESITA INDIA LTD.,Capital Goods,RHIM.NS,EQ,INE743M01012
Siemens Ltd.,Capital Goods,SIEMENS.NS,EQ,INE003A01024
SKF India Ltd.,Capital Goods,SKFINDIA.NS,EQ,INE640A01023
Supreme Industries Ltd.,Capital Goods,SUPREMEIND.NS,EQ,INE195A01028
Suzlon Energy Ltd.,Capital Goods,SUZLON.NS,EQ,INE040H01021
Tata Steel Long Products Ltd.,Capital Goods,TATASTLLP.NS,EQ,INE674A01014
Thermax Ltd.,Capital Goods,THERMAX.NS,EQ,INE152A01029
Timken India Ltd.,Capital Goods,TIMKEN.NS,EQ,INE325A01013
Triveni Turbine Ltd.,Capital Goods,TRITURBINE.NS,EQ,INE152M01016
UFLEX Ltd.,Capital Goods,UFLEX.NS,EQ,INE516A01017
Welspun Corp Ltd.,Capital Goods,WELCORP.NS,EQ,INE191B01025
Alkyl Amines Chemicals Ltd.,Chemicals,ALKYLAMINE.NS,EQ,INE150B01039
Anupam Rasayan India Ltd.,Chemicals,ANURAS.NS,EQ,INE930P01018
Atul Ltd.,Chemicals,ATUL.NS,EQ,INE100A01010
Balaji Amines Ltd.,Chemicals,BALAMINES.NS,EQ,INE050E01027
BASF India Ltd.,Chemicals,BASF.NS,EQ,INE373A01013
Bayer Cropscience Ltd.,Chemicals,BAYERCROP.NS,EQ,INE462A01022
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT.NS,EQ,INE085A01013
Chemplast Sanmar Ltd.,Chemicals,CHEMPLASTS.NS,EQ,INE488A01050
Clean Science and Technology Ltd.,Chemicals,CLEAN.NS,EQ,INE227W01023
Coromandel International Ltd.,Chemicals,COROMANDEL.NS,EQ,INE169A01031
Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR.NS,EQ,INE288B01029
Fertilisers and Chemicals Travancore Ltd.,Chemicals,FACT.NS,EQ,INE188A01015
Fine Organic Industries Ltd.,Chemicals,FINEORG.NS,EQ,INE686Y01026
Galaxy Surfactants Ltd.,Chemicals,GALAXYSURF.NS,EQ,INE600K01018
Gujarat Alkalies & Chemicals Ltd.,Chemicals,GUJALKALI.NS,EQ,INE186A01019
Gujarat Fluorochemicals Ltd.,Chemicals,FLUOROCHEM.NS,EQ,INE09N301011
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,Chemicals,GNFC.NS,EQ,INE113A01013
Gujarat State Fertilizers & Chemicals Ltd.,Chemicals,GSFC.NS,EQ,INE026A01025
Jubilant Ingrevia Ltd.,Chemicals,JUBLINGREA.NS,EQ,INE0BY001018
Laxmi Organic Industries Ltd.,Chemicals,LXCHEM.NS,EQ,INE576O01020
Linde India Ltd.,Chemicals,LINDEINDIA.NS,EQ,INE473A01011
Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR.NS,EQ,INE048G01026
NOCIL Ltd.,Chemicals,NOCIL.NS,EQ,INE163A01018
PCBL Ltd.,Chemicals,PCBL.NS,EQ,INE602A01031
PI Industries Ltd.,Chemicals,PIIND.NS,EQ,INE603J01030
Pidilite Industries Ltd.,Chemicals,PIDILITIND.NS,EQ,INE318A01026
Privi Speciality Chemicals Ltd.,Chemicals,PRIVISCL.NS,EQ,INE959A01019
Rain Industries Ltd,Chemicals,RAIN.NS,EQ,INE855B01025
Rallis India Ltd.,Chemicals,RALLIS.NS,EQ,INE613A01020
Rashtriya Chemicals & Fertilizers Ltd.,Chemicals,RCF.NS,EQ,INE027A01015
Rossari Biotech Ltd.,Chemicals,ROSSARI.NS,EQ,INE02A801020
Solar Industries India Ltd.,Chemicals,SOLARINDS.NS,EQ,INE343H01029
SRF Ltd.,Chemicals,SRF.NS,EQ,INE647A01010
Sudarshan Chemical Industries Ltd.,Chemicals,SUDARSCHEM.NS,EQ,INE659A01023
Sumitomo Chemical India Ltd.,Chemicals,SUMICHEM.NS,EQ,INE258G01013
Tata Chemicals Ltd.,Chemicals,TATACHEM.NS,EQ,INE092A01019
UPL Ltd.,Chemicals,UPL.NS,EQ,INE628A01036
Vinati Organics Ltd.,Chemicals,VINATIORGA.NS,EQ,INE410B01037
Dilip Buildcon Ltd.,Construction,DBL.NS,EQ,INE917M01012
Engineers India Ltd.,Construction,ENGINERSIN.NS,EQ,INE510A01028
G R Infraprojects Ltd.,Construction,GRINFRA.NS,EQ,INE201P01022
IRB Infrastructure Developers Ltd.,Construction,IRB.NS,EQ,INE821I01014
IRCON International Ltd.,Construction,IRCON.NS,EQ,INE962Y01021
Kalpataru Power Transmission Ltd.,Construction,KALPATPOWR.NS,EQ,INE220B01022
KNR Constructions Ltd.,Construction,KNRCON.NS,EQ,INE634I01029
Larsen & Toubro Ltd.,Construction,LT.NS,EQ,INE018A01030
NBCC (India) Ltd.,Construction,NBCC.NS,EQ,INE095N01031
NCC Ltd.,Construction,NCC.NS,EQ,INE868B01028
PNC Infratech Ltd.,Construction,PNCINFRA.NS,EQ,INE195J01029
Rail Vikas Nigam Ltd.,Construction,RVNL.NS,EQ,INE415G01027
RITES Ltd.,Construction,RITES.NS,EQ,INE320J01015
Sterling and Wilson Renewable Energy Ltd.,Construction,SWSOLAR.NS,EQ,INE00M201021
ACC Ltd.,Construction Materials,ACC.NS,EQ,INE012A01025
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM.NS,EQ,INE079A01024
Birla Corporation Ltd.,Construction Materials,BIRLACORPN.NS,EQ,INE340A01012
Dalmia Bharat Ltd.,Construction Materials,DALBHARAT.NS,EQ,INE00R701025
Grasim Industries Ltd.,Construction Materials,GRASIM.NS,EQ,INE047A01021
India Cements Ltd.,Construction Materials,INDIACEM.NS,EQ,INE383A01012
J.K. Cement Ltd.,Construction Materials,JKCEMENT.NS,EQ,INE823G01014
JK Lakshmi Cement Ltd.,Construction Materials,JKLAKSHMI.NS,EQ,INE786A01032
Nuvoco Vistas Corporation Ltd.,Construction Materials,NUVOCO.NS,EQ,INE118D01016
Prism Johnson Ltd.,Construction Materials,PRSMJOHNSN.NS,EQ,INE010A01011
Shree Cement Ltd.,Construction Materials,SHREECEM.NS,EQ,INE070A01015
The Ramco Cements Ltd.,Construction Materials,RAMCOCEM.NS,EQ,INE331A01037
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO.NS,EQ,INE481G01011
Amber Enterprises India Ltd.,Consumer Durables,AMBER.NS,EQ,INE371P01015
Asian Paints Ltd.,Consumer Durables,ASIANPAINT.NS,EQ,INE021A01026
Bajaj Electricals Ltd,Consumer Durables,BAJAJELEC.NS,EQ,INE193E01025
Bata India Ltd.,Consumer Durables,BATAINDIA.NS,EQ,INE176A01028
Berger Paints India Ltd.,Consumer Durables,BERGEPAINT.NS,EQ,INE463A01038
Blue Star Ltd.,Consumer Durables,BLUESTARCO.NS,EQ,INE472A01039
Campus Activewear Ltd.,Consumer Durables,CAMPUS.NS,EQ,INE278Y01022
Century Plyboards (India) Ltd.,Consumer Durables,CENTURYPLY.NS,EQ,INE348B01021
Cera Sanitaryware Ltd,Consumer Durables,CERA.NS,EQ,INE739E01017
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON.NS,EQ,INE299U01018
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON.NS,EQ,INE935N01020
Havells India Ltd.,Consumer Durables,HAVELLS.NS,EQ,INE176B01034
IFB Industries Ltd.,Consumer Durables,IFBIND.NS,EQ,INE559A01017
Indigo Paints Ltd.,Consumer Durables,INDIGOPNTS.NS,EQ,INE09VQ01012
Kajaria Ceramics Ltd.,Consumer Durables,KAJARIACER.NS,EQ,INE217B01036
Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL.NS,EQ,INE303R01014
Kansai Nerolac Paints Ltd.,Consumer Durables,KANSAINER.NS,EQ,INE531A01024
Metro Brands Ltd.,Consumer Durables,METROBRAND.NS,EQ,INE317I01021
Orient Electric Ltd.,Consumer Durables,ORIENTELEC.NS,EQ,INE142Z01019
Rajesh Exports Ltd.,Consumer Durables,RAJESHEXPO.NS,EQ,INE343B01030
Relaxo Footwears Ltd.,Consumer Durables,RELAXO.NS,EQ,INE131B01039
Sheela Foam Ltd.,Consumer Durables,SFL.NS,EQ,INE916U01025
Symphony Ltd.,Consumer Durables,SYMPHONY.NS,EQ,INE225D01027
Titan Company Ltd.,Consumer Durables,TITAN.NS,EQ,INE280A01028
TTK Prestige Ltd.,Consumer Durables,TTKPRESTIG.NS,EQ,INE690A01028
V.I.P. Industries Ltd.,Consumer Durables,VIPIND.NS,EQ,INE054A01027
V-Guard Industries Ltd.,Consumer Durables,VGUARD.NS,EQ,INE951I01027
Voltas Ltd.,Consumer Durables,VOLTAS.NS,EQ,INE226A01021
Whirlpool of India Ltd.,Consumer Durables,WHIRLPOOL.NS,EQ,INE716A01013
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL.NS,EQ,INE647O01011
Avenue Supermarts Ltd.,Consumer Services,DMART.NS,EQ,INE192R01011
Chalet Hotels Ltd.,Consumer Services,CHALET.NS,EQ,INE427F01016
Delta Corp Ltd.,Consumer Services,DELTACORP.NS,EQ,INE124G01033
Devyani International Ltd.,Consumer Services,DEVYANI.NS,EQ,INE872J01023
Easy Trip Planners Ltd.,Consumer Services,EASEMYTRIP.NS,EQ,INE07O001018
EIH Ltd.,Consumer Services,EIHOTEL.NS,EQ,INE230A01023
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA.NS,EQ,INE388Y01029
Go Fashion (India) Ltd.,Consumer Services,GOCOLORS.NS,EQ,INE0BJS01011
Indiamart Intermesh Ltd.,Consumer Services,INDIAMART.NS,EQ,INE933S01016
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL.NS,EQ,INE053A01029
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC.NS,EQ,INE335Y01020
Info Edge (India) Ltd.,Consumer Services,NAUKRI.NS,EQ,INE663F01024
Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD.NS,EQ,INE797F01020
Justdial Ltd.,Consumer Services,JUSTDIAL.NS,EQ,INE599M01018
Mahindra Holidays & Resorts India Ltd.,Consumer Services,MHRIL.NS,EQ,INE998I01010
Medplus Health Services Ltd.,Consumer Services,MEDPLUS.NS,EQ,INE804L01022
Restaurant Brands Asia Ltd.,Consumer Services,RBA.NS,EQ,INE07T201019
Sapphire Foods India Ltd.,Consumer Services,SAPPHIRE.NS,EQ,INE806T01012
Trent Ltd.,Consumer Services,TRENT.NS,EQ,INE849A01020
Vaibhav Global Ltd.,Consumer Services,VAIBHAVGBL.NS,EQ,INE884A01027
V-Mart Retail Ltd.,Consumer Services,VMART.NS,EQ,INE665J01013
Westlife Development Ltd.,Consumer Services,WESTLIFE.NS,EQ,INE274F01020
Zomato Ltd.,Consumer Services,ZOMATO.NS,EQ,INE758T01015
3M India Ltd.,Diversified,3MINDIA.NS,EQ,INE470A01017
DCM Shriram Ltd.,Diversified,DCMSHRIRAM.NS,EQ,INE499A01024
Advanced Enzyme Tech Ltd.,Fast Moving Consumer Goods,ADVENZYMES.NS,EQ,INE837H01020
Avanti Feeds Ltd.,Fast Moving Consumer Goods,AVANTIFEED.NS,EQ,INE871C01038
Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN.NS,EQ,INE119A01028
Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,BBTC.NS,EQ,INE050A01025
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA.NS,EQ,INE216A01030
CCL Products (I) Ltd.,Fast Moving Consumer Goods,CCL.NS,EQ,INE421D01022
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL.NS,EQ,INE259A01022
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR.NS,EQ,INE016A01026
E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,EIDPARRY.NS,EQ,INE126A01031
Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD.NS,EQ,INE548C01032
Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP.NS,EQ,INE260B01028
Godrej Agrovet Ltd.,Fast Moving Consumer Goods,GODREJAGRO.NS,EQ,INE850D01014
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP.NS,EQ,INE102D01028
Godrej Industries Ltd.,Fast Moving Consumer Goods,GODREJIND.NS,EQ,INE233A01035
Gujarat Ambuja Exports Ltd.,Fast Moving Consumer Goods,GAEL.NS,EQ,INE036B01030
Hatsun Agro Product Ltd.,Fast Moving Consumer Goods,HATSUN.NS,EQ,INE473B01035
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR.NS,EQ,INE030A01027
ITC Ltd.,Fast Moving Consumer Goods,ITC.NS,EQ,INE154A01025
Jyothy Labs Ltd.,Fast Moving Consumer Goods,JYOTHYLAB.NS,EQ,INE668F01031
KRBL Ltd.,Fast Moving Consumer Goods,KRBL.NS,EQ,INE001B01026
Marico Ltd.,Fast Moving Consumer Goods,MARICO.NS,EQ,INE196A01026
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND.NS,EQ,INE239A01016
Procter & Gamble Hygiene & Health Care Ltd.,Fast Moving Consumer Goods,PGHH.NS,EQ,INE179A01014
Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO.NS,EQ,INE944F01028
Shree Renuka Sugars Ltd.,Fast Moving Consumer Goods,RENUKA.NS,EQ,INE087H01022
Tata Coffee Ltd.,Fast Moving Consumer Goods,TATACOFFEE.NS,EQ,INE493A01027
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM.NS,EQ,INE192A01025
Triveni Engineering & Industries Ltd.,Fast Moving Consumer Goods,TRIVENI.NS,EQ,INE256C01024
United Breweries Ltd.,Fast Moving Consumer Goods,UBL.NS,EQ,INE686F01025
United Spirits Ltd.,Fast Moving Consumer Goods,MCDOWELL-N.NS,EQ,INE854D01024
Varun Beverages Ltd.,Fast Moving Consumer Goods,VBL.NS,EQ,INE200M01013
Venky's (India) Ltd.,Fast Moving Consumer Goods,VENKEYS.NS,EQ,INE398A01010
Zydus Wellness Ltd.,Fast Moving Consumer Goods,ZYDUSWELL.NS,EQ,INE768C01010
Aavas Financiers Ltd.,Financial Services,AAVAS.NS,EQ,INE216P01012
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL.NS,EQ,INE674K01013
Aditya Birla Sun Life AMC Ltd.,Financial Services,ABSLAMC.NS,EQ,INE404A01024
Angel One Ltd.,Financial Services,ANGELONE.NS,EQ,INE732I01013
Aptus Value Housing Finance India Ltd.,Financial Services,APTUS.NS,EQ,INE852O01025
AU Small Finance Bank Ltd.,Financial Services,AUBANK.NS,EQ,INE949L01017
Axis Bank Ltd.,Financial Services,AXISBANK.NS,EQ,INE238A01034
Bajaj Finance Ltd.,Financial Services,BAJFINANCE.NS,EQ,INE296A01024
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV.NS,EQ,INE918I01018
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG.NS,EQ,INE118A01012
Bandhan Bank Ltd.,Financial Services,BANDHANBNK.NS,EQ,INE545U01014
Bank of Baroda,Financial Services,BANKBARODA.NS,EQ,INE028A01039
Bank of India,Financial Services,BANKINDIA.NS,EQ,INE084A01016
Bank of Maharashtra,Financial Services,MAHABANK.NS,EQ,INE457A01014
BSE Ltd.,Financial Services,BSE.NS,EQ,INE118H01025
Can Fin Homes Ltd.,Financial Services,CANFINHOME.NS,EQ,INE477A01020
Canara Bank,Financial Services,CANBK.NS,EQ,INE476A01014
Capri Global Capital Ltd.,Financial Services,CGCL.NS,EQ,INE180C01026
Central Bank of India,Financial Services,CENTRALBK.NS,EQ,INE483A01010
Central Depository Services (India) Ltd.,Financial Services,CDSL.NS,EQ,INE736A01011
Cholamandalam Financial Holdings Ltd.,Financial Services,CHOLAHLDNG.NS,EQ,INE149A01033
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN.NS,EQ,INE121A01024
City Union Bank Ltd.,Financial Services,CUB.NS,EQ,INE491A01021
Computer Age Management Services Ltd.,Financial Services,CAMS.NS,EQ,INE596I01012
CreditAccess Grameen Ltd.,Financial Services,CREDITACC.NS,EQ,INE741K01010
CRISIL Ltd.,Financial Services,CRISIL.NS,EQ,INE007A01025
